Delay_Days,Reduced_SG_Days,Current_SG_Cost,Deferred_Total_Cost,Savings_Per_TEU_NZD,Fleet_Savings_NZD
0,7.0,590,590.0,0.0,0.0
1,6.2,590,581.0,9.0,1800.0
2,5.4,590,572.0,18.0,3600.0
3,4.6,590,563.0,27.0,5400.0
4,3.8,590,554.0,36.0,7200.0
5,3.0,590,545.0,45.0,9000.0
6,2.1999999999999993,590,536.0,54.0,10800.0
7,1.3999999999999995,590,527.0,63.0,12600.0
